"iden"	"k"	"D"	"call.sag"	"call.gm"	"ppv"
"is.gm"	25	2	2	92	145794	0.995479871087562
"is.sag"	26	2	2	329	671	0.787081339712919
"is.gm"	26	2	2	89	145797	0.99541879454898
"is.sag"	27	2	2	311	689	0.789340101522843
"is.gm"	27	2	2	83	145803	0.995296671490593
"is.sag"	28	2	2	303	697	0.795275590551181
"is.gm"	28	2	2	78	145808	0.9952424831917
"is.sag"	29	2	2	300	700	0.802139037433155
"is.gm"	29	2	2	74	145812	0.99522223435623
"is.sag"	30	2	2	253	747	0.798107255520505
"is.gm"	30	2	2	64	145822	0.994903424325744
"is.sag"	31	2	2	245	755	0.795454545454545
"is.gm"	31	2	2	63	145823	0.994849158809644
"is.sag"	32	2	2	240	760	0.808080808080808
"is.gm"	32	2	2	57	145829	0.99481543635607
"is.sag"	33	2	2	213	787	0.809885931558935
"is.gm"	33	2	2	50	145836	0.994632492855828
"is.sag"	34	2	2	205	795	0.813492063492063
"is.gm"	34	2	2	47	145839	0.994578337902533
"is.sag"	35	2	2	191	809	0.809322033898305
"is.gm"	35	2	2	45	145841	0.994483464030003
"is.sag"	36	2	2	169	831	0.820388349514563
"is.gm"	36	2	2	37	145849	0.994334605944914
"is.sag"	37	2	2	157	843	0.813471502590674
"is.gm"	37	2	2	36	145850	0.994253304520325
"is.sag"	38	2	2	154	846	0.819148936170213
"is.gm"	38	2	2	34	145852	0.994233050212
"is.sag"	39	2	2	139	861	0.832335329341317
"is.gm"	39	2	2	28	145858	0.994131639392308
"is.sag"	40	2	2	131	869	0.829113924050633
"is.gm"	40	2	2	27	145859	0.994077476691565
"is.sag"	15	1	3	943	57	0.267214508359309
"is.gm"	15	1	3	2586	143300	0.999602391233075
"is.sag"	16	1	3	943	57	0.267897727272727
"is.gm"	16	1	3	2577	143309	0.999602416193519
"is.sag"	17	1	3	934	66	0.282090003020236
"is.gm"	17	1	3	2377	143509	0.999540309942539
"is.sag"	18	1	3	912	88	0.341189674523008
"is.gm"	18	1	3	1761	144125	0.999389791488978
"is.sag"	19	1	3	773	227	0.434025828186412
"is.gm"	19	1	3	1008	144878	0.998435615588712
"is.sag"	20	1	3	587	413	0.526929982046679
"is.gm"	20	1	3	527	145359	0.997166808440578
"is.sag"	21	1	3	450	550	0.629370629370629
"is.gm"	21	1	3	265	145621	0.996237283729331
"is.sag"	22	1	3	395	605	0.692982456140351
"is.gm"	22	1	3	175	145711	0.995865113863145
"is.sag"	23	1	3	366	634	0.736418511066398
"is.gm"	23	1	3	131	145755	0.995669073495959
"is.sag"	24	1	3	332	668	0.768518518518518
"is.gm"	24	1	3	100	145786	0.995438840864708
"is.sag"	25	1	3	330	670	0.789473684210526
"is.gm"	25	1	3	88	145798	0.995425621978862
"is.sag"	26	1	3	321	679	0.79064039408867
"is.gm"	26	1	3	85	145801	0.995364554888039
"is.sag"	27	1	3	303	697	0.793193717277487
"is.gm"	27	1	3	79	145807	0.995242450718069
"is.sag"	28	1	3	295	705	0.799457994579946
"is.gm"	28	1	3	74	145812	0.995188271668134
"is.sag"	29	1	3	292	708	0.808864265927978
"is.gm"	29	1	3	69	145817	0.995168060058011
"is.sag"	30	1	3	245	755	0.80327868852459
"is.gm"	30	1	3	60	145826	0.994849264229334
"is.sag"	31	1	3	240	760	0.802675585284281
"is.gm"	31	1	3	59	145827	0.994815365619052
"is.sag"	32	1	3	235	765	0.813148788927336
"is.gm"	32	1	3	54	145832	0.994781612174874
"is.sag"	33	1	3	208	792	0.818897637795276
"is.gm"	33	1	3	46	145840	0.994598723334606
"is.sag"	34	1	3	203	797	0.82520325203252
"is.gm"	34	1	3	43	145843	0.994564920894708
"is.sag"	35	1	3	189	811	0.821739130434783
"is.gm"	35	1	3	41	145845	0.994470052367445
"is.sag"	36	1	3	167	833	0.835
"is.gm"	36	1	3	33	145853	0.994321203114135
"is.sag"	37	1	3	155	845	0.824468085106383
"is.gm"	37	1	3	33	145853	0.994239866937518
"is.sag"	38	1	3	152	848	0.830601092896175
